,Username,Business Category,Business Email,Category Enum,Followers,Following,Posts,Profile URL
0,sportskeedaesports,Publishers,contact@sportskeeda.com,NEWS_SITE,46445,126,533,https://www.instagram.com/sportskeedaesports/?__a=1
1,sportholics,Home Services,o.ghazaly@sportholics.com,COMPANY,15474,22,1010,https://www.instagram.com/sportholics/?__a=1
2,sportstakofficial,Publishers,sportstakyt@gmail.com,NEWS_SITE,237737,116,1666,https://www.instagram.com/sportstakofficial/?__a=1
3,sportbible,Publishers,contact@thesportbible.com,MEDIA_NEWS_COMPANY,4480507,3853,6412,https://www.instagram.com/sportbible/?__a=1
4,sportingclubedeportugal,Publishers,digital@sporting.pt,SPORTS,966046,367,6978,https://www.instagram.com/sportingclubedeportugal/?__a=1
5,starsportsindia,Publishers,<<not-applicable>>,TV_NETWORK,2679310,35,2997,https://www.instagram.com/starsportsindia/?__a=1
6,sportscenter,Content & Apps,,TV_SHOW,19184762,1395,32632,https://www.instagram.com/sportscenter/?__a=1
7,sporteodie,Creators & Celebrities,sport@iamsporteodie.com,ENTREPRENEUR,59723,1587,13356,https://www.instagram.com/sporteodie/?__a=1
8,sports,Publishers,,MEDIA_NEWS_COMPANY,2011611,221,7167,https://www.instagram.com/sports/?__a=1
9,sport6ix,,wilson.chancellor@yahoo.ca,FAN_PAGE,32589,4288,1318,https://www.instagram.com/sport6ix/?__a=1
10,si_swimsuit,Publishers,,MAGAZINE,2160371,377,3512,https://www.instagram.com/si_swimsuit/?__a=1
11,extremesportworld,,,,163799,1611,2652,https://www.instagram.com/extremesportworld/?__a=1
12,savvyamusing,Creators & Celebrities,eric.moreno@cabacero.com,COMEDIAN,336374,897,1758,https://www.instagram.com/savvyamusing/?__a=1
13,sportshighlights,,,,1666259,101,7193,https://www.instagram.com/sportshighlights/?__a=1
14,sportskeeda,,,,294318,389,7523,https://www.instagram.com/sportskeeda/?__a=1
15,sportercom,Personal Goods & General Merchandise Stores,wow@sporter.com,TOPIC_SHOPPING_RETAIL,115981,16,3824,https://www.instagram.com/sportercom/?__a=1
16,nikesportswear,Personal Goods & General Merchandise Stores,,,8031417,113,1100,https://www.instagram.com/nikesportswear/?__a=1
17,sportsillustrated,Publishers,,MEDIA_NEWS_COMPANY,1440279,1178,17805,https://www.instagram.com/sportsillustrated/?__a=1
18,torysport,Personal Goods & General Merchandise Stores,,CLOTHING_STORE,88502,164,2323,https://www.instagram.com/torysport/?__a=1
19,officialsportsacademy,Publishers,info@sportsacademy.com,SPORTS,608397,155,175,https://www.instagram.com/officialsportsacademy/?__a=1
20,spark_sports,,,,136521,2629,8903,https://www.instagram.com/spark_sports/?__a=1
21,diariosport,General Interest,redaccion@diariosport.com,MEDIA,1229309,112,6538,https://www.instagram.com/diariosport/?__a=1
22,pumasportstyle,Personal Goods & General Merchandise Stores,customerservice@puma.com,CLOTHING,1730949,95,2035,https://www.instagram.com/pumasportstyle/?__a=1
23,sports.humors,Creators & Celebrities,joe246922@gmail.com,PERSONAL_BLOG,914848,640,993,https://www.instagram.com/sports.humors/?__a=1
24,gypsysport,,,,99091,33,3263,https://www.instagram.com/gypsysport/?__a=1
25,digitalsportshopping,Personal Goods & General Merchandise Stores,info@digital-sport.com.ar,APPAREL,332643,63,2088,https://www.instagram.com/digitalsportshopping/?__a=1
26,alphasportz,,,,1916364,168,2065,https://www.instagram.com/alphasportz/?__a=1
27,ngsportsclub,Non-Profits & Religious Organizations,ngsportsclub@gmail.com,COMMUNITY_ORGANIZATION,7639,21,795,https://www.instagram.com/ngsportsclub/?__a=1
28,champssports,Personal Goods & General Merchandise Stores,weknowgame.social@gmail.com,RETAIL_COMPANY,2142354,2019,14350,https://www.instagram.com/champssports/?__a=1
29,sportsworldmagazine,Publishers,info@sportsworldmagazine.com,MAGAZINE,50621,7422,2618,https://www.instagram.com/sportsworldmagazine/?__a=1
30,molatv.sport,Publishers,support@mola.tv,TV_NETWORK,241605,0,9092,https://www.instagram.com/molatv.sport/?__a=1
31,sportsiren,,,,38296,470,1585,https://www.instagram.com/sportsiren/?__a=1
32,rare_sports,Creators & Celebrities,,,160064,1178,4141,https://www.instagram.com/rare_sports/?__a=1
33,bbcsport,Publishers,,NEWS_SITE,2123930,459,14896,https://www.instagram.com/bbcsport/?__a=1
34,btsport,Publishers,btcare@bt.com,TV_CHANNEL,1636765,118,11150,https://www.instagram.com/btsport/?__a=1
35,sportskeedacricket,Publishers,,SPORTS,162949,291,4618,https://www.instagram.com/sportskeedacricket/?__a=1
36,sport_bild,Publishers,,NEWS_SITE,209164,494,7815,https://www.instagram.com/sport_bild/?__a=1
37,vitoriasc_oficial,Creators & Celebrities,marketing@vitoriasc.pt,SPORTS_TEAM,106368,116,3219,https://www.instagram.com/vitoriasc_oficial/?__a=1
38,sportsnet,Publishers,sportsnetsocialmedia@rci.rogers.com,TV_NETWORK,559289,167,11290,https://www.instagram.com/sportsnet/?__a=1
39,scinternacional,Creators & Celebrities,aimprensa@internacional.com.br,SPORTS_TEAM,1274020,70,7620,https://www.instagram.com/scinternacional/?__a=1
40,starsportstamil,Publishers,,TV_NETWORK,169988,41,821,https://www.instagram.com/starsportstamil/?__a=1
41,optussport,Local Events,,SPORTS_EVENT,99671,85,6786,https://www.instagram.com/optussport/?__a=1
